Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
1665;Bentsjord;Kraftverk;K;CADRE ELVEKRAFT AS;929375769;Troms;55;Storfjord;38;2012;2012;2,66;4,669;419;0,727;1,016;4;204.92B;ja;2012-06-22;[object Object];Idrift;;;Bentsjordelva;01;829;nei;;11;NVE - område: 11;
991;Berdal;Kraftverk;K;BERDAL OG MØLLSLETT KRAFTLAG AS;976013875;Trøndelag;50;Åfjord;58;1996;1996;0,2;0,427;;;;3;135.AAA;ja;1996-01-01;;Idrift;;;Stordalselva;;999;nei;;9;NVE - område: 9;
1559;Berdalselva;Kraftverk;K;BERDALSKRAFT AS;990991251;Møre og Romsdal;15;Rauma;39;2011;2011;4,35;15,479;304,3;1,7;0,711;3;103.2A;ja;2011-03-07;[object Object];Idrift;;;Innfjordselva;02;431;nei;;8;NVE - område: 8;
1300;Bergbekken;Kraftverk;K;;;Møre og Romsdal;15;Molde;06;1998;1998;0,0014;0,003;18;0,024;0,016;3;105.4B;ja;1998-01-01;[object Object];Idrift;;;Oppdølselva;;999;nei;;8;NVE - område: 8;
1914;Berge;Kraftverk;K;FJÆRLAND KRAFT AS;916498721;Vestland;46;Sogndal;40;2018;2018;7,96;16,518;425;2,4;0,921;5;078.21Z;ja;2018-03-06;[object Object],[object Object];Idrift;;;Bjåstadelvi;01;316;nei;;7;NVE - område: 7;
1363;Bergelva;Kraftverk;K;BERGELVA KRAFT AS;989930583;Møre og Romsdal;15;Haram;80;2008;2008;0,3;0,639;;;;3;102.2Z;ja;2008-05-09;[object Object];Idrift;;;Storelva;;999;nei;;8;NVE - område: 8;
19;Bergerfoss;Kraftverk;K;AS RANDSFJORD TREMASSE- & PAPIRFABRIKK;915297331;Akershus;32;Jevnaker;36;1938;1938;3,3;15,116;5,4;70,51;0,013;1;012.EA72;ja;1938-01-01;[object Object],[object Object],[object Object],[object Object];Idrift;;;Drammensvassdraget;11;043;nei;;1;NVE - område: 1;
1513;Bergesli;Kraftverk;K;BERGESLI KRAFTVERK AS;990917779;Agder;42;Kvinesdal;27;2008;2008;0,78;2,07;;;;2;025.B3Z;ja;2008-07-02;[object Object];Idrift;;;Kvina;;127;nei;;4;NVE - område: 4;
2082;Bergesåi;Kraftverk;K;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Telemark ;40;Fyresdal;32;2022;2022;3,5;10,541;232,5;1,9;0,512;2;019.H2B;ja;2022-10-18;[object Object];Idrift;;;Arendalsvassdraget;;105;nei;;3;NVE - område: 3;
20;Bergsbotn;Kraftverk;K;TROMS KRAFT PRODUKSJON AS;979152116;Troms;55;Senja;30;1985;1985;7,9;28,217;354,1;2,59;0,843;4;195.6A0;ja;1985-01-01;[object Object];Idrift;;;Forselva;01;767;nei;;11;NVE - område: 11;
1732;Bergselva;Kraftverk;K;NORDIC POWER AS;914341183;Troms;55;Storfjord;38;2013;2013;5,4;10,616;394;1,6;0,938;4;204.82;ja;2013-09-18;[object Object];Idrift;;;KYSTFELT;;999;nei;;11;NVE - område: 11;
2026;Bergselvi;Kraftverk;K;BERGSELVI KRAFTVERK AS;991936491;Vestland;46;Luster;44;2021;2021;8,91;23,148;491;2,2;1,125;5;075.BA0;ja;2021-10-26;[object Object];Idrift;;;Fortunvassdraget;10;307;nei;;7;NVE - område: 7;
1207;Bergsfjord;Kraftverk;K;YMBER PRODUKSJON AS;913680294;Finnmark;56;Loppa;14;1959;2006;1,1;2,933;83,7;1,5;0,187;4;211.34A;ja;2006-12-14;[object Object];Idrift;;;Bergsfjordelva;;999;nei;;12;NVE - område: 12;
1447;Bergstø;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Etne;11;2009;2009;2,9;7,982;240;1,33;0,605;2;042.3Z;ja;2009-12-04;[object Object];Idrift;;;Dalelva;10;188;nei;;5;NVE - område: 5;
765;Berild;Kraftverk;K;RAUMA ENERGI PRODUKSJON AS;970974253;Møre og Romsdal;15;Rauma;39;1999;1999;15,9;45,694;275;6,6;0,669;3;103.2Z;ja;1999-09-27;[object Object],[object Object],[object Object];Idrift;;;Innfjordselva;01;431;nei;;8;NVE - område: 8;
21;Berlifoss;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Telemark ;40;Nissedal;30;1958;1958;9,5;56,327;29;39,97;0,065;2;019.DA1;ja;1958-01-01;;Idrift;;;Arendalsvassdraget;31;105;nei;;3;NVE - område: 3;
1006;Bessa Minikraftverk;Kraftverk;K;;;Innlandet;34;Vågå;35;1999;1999;0,098;0,216;;;;3;002.DGF51;ja;1999-01-01;[object Object];Idrift;;;Glommavassdraget;;004;nei;;8;NVE - område: 8;
1802;Bestul;Pumpe;P;LØVENSKIOLD-FOSSUM KRAFT AS;994200682;Telemark ;40;Skien;03;2015;2015;-0,71;-2,821;;1,5;-0,131;2;016.ADAC;ja;2015-02-02;[object Object];Idrift;;;Skiensvassdraget;09;078;nei;;3;NVE - område: 3;
22;Bingsfoss;Kraftverk;K;GLOMMA KRAFTPRODUKSJON AS;987287608;Akershus;32;Lillestrøm;05;1977;1977;32,5;165,063;5;820;0,011;1;002.D4;ja;1977-06-15;[object Object],[object Object];Idrift;;;Glommavassdraget;21;004;nei;;1;NVE - område: 1;
1917;Birkedal;Kraftverk;K;BØSTRAND AUTOMASKIN;892540322;Møre og Romsdal;15;Vanylven;11;2017;2017;0,055;0,101;93;0,079;0,193;3;092.A;ja;2017-12-20;[object Object];Idrift;;;Gusdalelva;;999;nei;;13;NVE - område: 13;
983;Birkås;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Høyanger;38;2006;2006;0,71;1,779;;;;3;080.22D;ja;2006-08-24;[object Object];Idrift;;;Dyrneslielva;;330;nei;;13;NVE - område: 13;
994;Biskopstien;Kraftverk;K;;;Rogaland;11;Lund;12;1999;1999;0,04;0,216;150;0,035;0,317;2;026.BBA1;ja;1999-01-01;[object Object];Idrift;;;Sira;;132;nei;;4;NVE - område: 4;
23;Bjelland;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Lindesnes;05;1974;1974;55;335,764;84,3;80,18;0,194;2;022.C4;ja;1974-01-01;[object Object],[object Object],[object Object];Idrift;;;Mandalselva;12;119;nei;;4;NVE - område: 4;
1626;Bjelland II;Kraftverk;K;BJELLAND & MUSLAND KRAFT AS;892065152;Rogaland;11;Tysvær;46;2011;2011;0,71;2,911;165;0,61;0,323;2;039.12;ja;2011-11-02;[object Object];Idrift;;;KYSTFELT;;999;nei;;5;NVE - område: 5;
1011;Bjergaelva;Kraftverk;K;BJERGAELVA KRAFT AS;880419552;Rogaland;11;Suldal;34;2004;2004;0,65;1,715;;;;2;036.32;ja;2004-01-01;[object Object];Idrift;;;KYSTFELT;;999;nei;;3;NVE - område: 3;
24;Bjerka;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Nordland;18;Hemnes;32;1972;1972;20;141,566;357;6,59;0,842;4;155.AC0;ja;1972-01-01;[object Object],[object Object],[object Object];Idrift;;;Røssåga;01;649;nei;;10;NVE - område: 10;
898;Bjordal;Kraftverk;K;JENS DOMINICUS NAGELL BJORDAL;985035652;Rogaland;11;Vindafjord;60;2004;2004;0,099;0,459;;;;2;041.21Z;ja;2004-11-18;[object Object];Idrift;;;Svensbøelva;;999;nei;;5;NVE - område: 5;
1498;Bjordal II;Kraftverk;K;JENS DOMINICUS NAGELL BJORDAL;985035652;Rogaland;11;Vindafjord;60;2009;2009;0,14;0,421;;;;2;041.21Z;ja;2009-06-15;[object Object];Idrift;;;Svensbøelva;;999;nei;;5;NVE - område: 5;
25;Bjordalen;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Telemark ;40;Hjartdal;24;1960;1960;2,9;9,032;56,5;9,3;0,087;2;016.EDZ;ja;1960-09-02;[object Object],[object Object],[object Object],[object Object];Idrift;;;Skiensvassdraget;53;078;nei;;3;NVE - område: 3;
881;Bjordøla;Kraftverk;K;NORDBØ OLAV S;970260196;Telemark ;40;Hjartdal;24;2005;2005;0,132;0,31;25;0,7;0,052;2;016.EDC;ja;2005-04-11;[object Object],[object Object];Idrift;;;Skiensvassdraget;;078;nei;;3;NVE - område: 3;
1260;Bjoråi;Kraftverk;K;;;Telemark ;40;Fyresdal;32;2005;2005;0,028;0,181;;;;2;019.DCC;ja;2005-01-01;[object Object];Idrift;;;Arendalsvassdraget;;999;nei;;3;NVE - område: 3;
26;Bjølvo;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Vestland;46;Kvam;22;1918;2003;99,2;457,056;870;13;2,11;5;052.4B;ja;2003-10-29;[object Object],[object Object],[object Object],[object Object];Idrift;;;Bjølvo;01;233;nei;;6;NVE - område: 6;
27;Bjørdal;Kraftverk;K;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;1931;1931;4,3;29,81;291;1,9;0,629;3;095.E;ja;1931-01-01;[object Object],[object Object];Idrift;;;Ørstavassdraget;02;395;nei;;8;NVE - område: 8;
2002;Bjørgelva;Kraftverk;K;CADRE ELVEKRAFT AS;929375769;Troms;55;Sørreisa;26;2020;2020;2,42;7,508;232,3;1,23;0,547;4;193.4B;ja;2020-12-17;[object Object];Idrift;;;Bjørgelva;;999;nei;;11;NVE - område: 11;
1540;Bjørgjo;Kraftverk;K;KAMBO ENERGI AS;992529970;Vestland;46;Etne;11;2009;2009;0,6;1,892;348,5;0,2;;2;041.41A0;ja;2009-06-11;[object Object];Idrift;;;elv fra Langavatnet;;999;nei;;5;NVE - område: 5;
814;Bjørgum;Kraftverk;K;SMÅKRAFT AS;984616155;Agder;42;Valle;21;2004;2004;5,495;15,693;295;2,3;0,663;2;021.E5A;ja;2004-09-01;[object Object];Idrift;;;Otra;22;115;nei;;4;NVE - område: 4;
1250;Bjørheimsbygd;Kraftverk;K;BJØRHEIMSBYGD KRAFTVERK AS;963235291;Rogaland;11;Strand;30;2006;2006;0,9;3,802;176;;;2;032.4A5;ja;2006-02-17;[object Object];Idrift;;;Tauelva;;159;nei;;4;NVE - område: 4;
28;Bjørkåsen;Kraftverk;K;BALLANGEN ENERGI AS;971592117;Nordland;18;Narvik;06;1921;1987;3,68;17,811;82,5;6,2;0,175;4;173.3Z;ja;1987-09-20;[object Object],[object Object];Idrift;;;Rånaelva;11;735;nei;;11;NVE - område: 11;
1367;Bjørndalen;Kraftverk;K;SFE AS;984882106;Vestland;46;Bremanger;48;2006;2006;4,95;23,997;101,6;5,5;0,25;3;086.7C;ja;2006-06-15;[object Object];Idrift;;;Vestre yksneelva;02;364;nei;;13;NVE - område: 13;
2070;Bjørndalen;Kraftverk;K;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Vestland;46;Voss;21;2021;2021;2,3;6,628;167,07;1,6;0,399;5;062.BAA;ja;2021-12-21;[object Object];Idrift;;;Vossovassdraget;;254;nei;;6;NVE - område: 6;
1242;Bjørndalselva;Kraftverk;K;BJØRNDALEN KRAFT AS;988456632;Vestland;46;Sunnfjord;47;2006;2006;5,3;18,105;327;1,92;0,752;3;084.E31;ja;2006-06-15;[object Object];Idrift;;;Jølstra;22;346;nei;;13;NVE - område: 13;
1166;Bjørnebykverna;Kraftverk;K;SOLØR MILJØ KRAFT AS;894678852;Innlandet;34;Åsnes;18;2000;2000;0,09;0,344;8;;;1;002.H1A0;ja;2000-01-01;;Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
2136;Bjørnstadåi;Kraftverk;K;SMÅKRAFT VEKST 2025 AS;931733850;Telemark ;40;Fyresdal;32;2025;2025;2,012;4,5;334,45;0,743;0,752;2;019.DCB1Z;ja;2025-03-28;[object Object];Idrift;;;Arendalsvassdraget;;105;nei;;3;NVE - område: 3;
