Vannkraftverk

Løpenummer;Navn;Type;VannKVTypeID;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1991-2020) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.;ErIDrift;IDriftDato;Konsesjoner;Kraftverkstatus;NVEOmraadeID;NVEOmraadeNavn;Nedborsfeltnavn;SPPunkt;SPSone;UnderBygging;UteAvDrift;VassdragsOmraadeID;VassdragsOmraadeNavn
851;Sørfjordkraft;Kraftverk;K;SØRFJORD KRAFT AS;942474024;Troms;55;Dyrøy;28;1988;1988;0,7;2,223;;;;4;193.12Z;ja;1988-01-01;;Idrift;;;Storelva;;999;nei;;11;NVE - område: 11;
594;Sør-Forså;Kraftverk;K;NORDKRAFT MAGASIN AS;928657213;Troms;55;Ibestad;14;1985;1985;1,1;5,604;155;0,8;0,381;4;188.23A3;ja;1985-01-27;[object Object],[object Object],[object Object],[object Object];Idrift;;;Storelva;01;762;nei;;11;NVE - område: 11;
993;Sørmeland;Kraftverk;K;;;Trøndelag;50;Osen;20;2003;2003;0,0075;0,02;;;;3;137.2A1;ja;2003-01-01;[object Object];Idrift;;;Steinselva;;999;nei;;9;NVE - område: 9;
1261;Søråi (Momrak);Kraftverk;K;;;Telemark ;40;Fyresdal;32;2000;2000;0,035;0,104;;;;2;019.DB1;ja;2000-01-01;[object Object];Idrift;;;Arendalsvassdraget;;999;nei;;3;NVE - område: 3;
1938;Søråni;Kraftverk;K;SØRÅNI KRAFT AS;918196986;Agder;42;Bygland;20;2019;2019;7,7;21,03;235;4;0,535;2;021.D5B;ja;2019-09-27;[object Object];Idrift;;;Otra;12;115;nei;;4;NVE - område: 4;
1073;Søtvik;Kraftverk;K;KOLBJØRN SØTVIK;995657260;Trøndelag;50;Ørland;57;2005;2005;0,09;0,209;;;;3;133.32A;ja;2005-01-01;[object Object];Idrift;;;Søtvikelva;;999;nei;;9;NVE - område: 9;
429;Såheim;Kraftverk;K;HYDRO ENERGI AS;930187240;Telemark ;40;Tinn;26;1915;1959;189;1121,36;273;76,4;0,686;2;016.H4;ja;1959-01-01;;Idrift;;;Skiensvassdraget;34;078;nei;;3;NVE - område: 3;
430;Tafjord 1;Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1923;1989;25;72,256;157;20,3;0,342;3;099.A;ja;1989-06-19;[object Object],[object Object];Idrift;;;Tafjordvassdraget;01;417;nei;;8;NVE - område: 8;
431;Tafjord 2;Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1952;1952;29,5;154,829;390;9,3;0,911;3;099.C;ja;1952-01-31;[object Object];Idrift;;;Tafjordvassdraget;02;417;nei;;8;NVE - område: 8;
432;Tafjord 3;Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1958;1958;22;103,208;329;8;0,764;3;099.D222;ja;1958-09-16;[object Object];Idrift;;;Tafjordvassdraget;03;417;nei;;8;NVE - område: 8;
433;Tafjord 4;Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1968;1968;110;450,776;430;29,98;1,019;3;099.A;ja;1968-11-21;[object Object];Idrift;;;Tafjordvassdraget;11;417;nei;;8;NVE - område: 8;
434;Tafjord 5;Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1982;1982;93;360,372;822,29;13,2;1,957;3;099.B2B12;ja;1982-01-28;[object Object],[object Object];Idrift;;;Tafjordvassdraget;12;417;nei;;8;NVE - område: 8;
736;Tafjord 6;Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1994;1994;1,8;3,364;36;5,38;0,093;3;002.DHHE;ja;1994-08-21;[object Object];Idrift;;;Glommavassdraget;13;417;nei;;8;NVE - område: 8;
1222;Tafjord 7 (Fagerbotnvatn);Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;2006;2006;1,1;3,765;225;0,6;0,509;3;099.D2;ja;2006-09-15;[object Object];Idrift;;;Tafjordvassdraget;05;417;nei;;8;NVE - område: 8;
1221;Tafjord 7 (Fetvatn);Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;2006;2006;2,15;7,392;127,7;2,2;0,272;3;099.D2;ja;2006-09-01;[object Object];Idrift;;;Tafjordvassdraget;04;417;nei;;8;NVE - område: 8;
1750;Tafjord 8;Kraftverk;K;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;2013;2013;2,8;11,742;84,1;4,2;0,185;3;099.F4;ja;2013-10-10;[object Object],[object Object];Idrift;;;Tafjordvassdraget;06;417;nei;;8;NVE - område: 8;
1339;Takle;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Gulen;35;2000;2000;0,99;4,749;225;0,5;0,556;5;069.2Z;ja;2000-02-25;[object Object];Idrift;;;Midt Takleelva;01;272;nei;;6;NVE - område: 6;
1075;Tapstad;Kraftverk;K;TAPSTAD KRAFTVERK Jantti;987561858;Nordland;18;Bodø;04;2005;2005;0,09;0,374;;;;4;162.8;ja;2005-10-19;[object Object];Idrift;;;KYSTFELT;;999;nei;;10;NVE - område: 10;
435;Taraldsvik;Kraftverk;K;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Narvik;06;1986;1986;1,5;10,584;425;0,4;1,042;4;174.311Z;ja;1986-01-01;[object Object];Idrift;;;Taraldsvikelva;01;740;nei;;11;NVE - område: 11;
1533;Teitafossen;Kraftverk;K;TEITAFOSSEN KRAFT AS;989958615;Vestland;46;Gloppen;50;2009;2009;0,89;3,949;7,75;15,5;0,016;3;087.D21;ja;2009-07-10;[object Object];Idrift;;;Breimsvassdraget;23;369;nei;;13;NVE - område: 13;
437;Teksdal;Kraftverk;K;FOSENKRAFT ENERGI AS;883152212;Trøndelag;50;Ørland;57;1943;1943;2,5;12,905;42;8,36;0,082;3;134.A;ja;1943-03-01;[object Object];Idrift;;;Teksdalselva;01;545;nei;;9;NVE - område: 9;
1022;Tendeland;Kraftverk;K;;;Rogaland;11;Tysvær;46;1995;1995;0,022;0,046;;;;2;039.12;ja;1995-01-01;;Idrift;;;KYSTFELT;;999;nei;;5;NVE - område: 5;
1952;Tenneelva;Kraftverk;K;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Vanylven;11;2018;2018;3,4;10,463;403,9;0,97;0,974;3;093.3A6;ja;2018-12-20;[object Object];Idrift;;;Norddalselva;01;386;nei;;13;NVE - område: 13;
438;Tennesvatn;Kraftverk;K;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Moskenes;74;1937;1937;1,5;4,979;238;0,8;0,521;4;181.4Z;ja;1937-01-01;[object Object],[object Object],[object Object];Idrift;;;Tenneselva;01;754;nei;;11;NVE - område: 11;
1925;Tesgjolo;Kraftverk;K;SMÅKRAFT USPP 1 AS;928613313;Vestland;46;Voss;21;2018;2018;0,99;5,706;189,3;0,67;0,41;5;062.E1Z;ja;2018-01-25;[object Object];Idrift;;;Vossovassdraget;;254;nei;;6;NVE - område: 6;
1650;Tesra;Kraftverk;K;TESRA KRAFT SA;894349042;Møre og Romsdal;15;Vanylven;11;2011;2011;0,22;0,517;175;;;3;093.11Z;ja;2011-09-12;[object Object];Idrift;;;Arsetelva;;999;nei;;13;NVE - område: 13;
620;Tevla;Pumpekraftverk;PK;NTE ENERGI AS;988340715;Trøndelag;50;Meråker;34;1994;1994;49,6;117,84;164,5;34;0,404;3;124.F410;ja;1994-04-19;[object Object],[object Object];Idrift;;;Stjørdalsvassdraget;02;504;nei;;9;NVE - område: 9;
1632;Thue;Kraftverk;K;KNUT U, THUE;970322167;Vestland;46;Sogndal;40;2011;2011;0,075;0,21;95;0,12;0,174;5;079.21;ja;2011-09-15;[object Object];Idrift;;;KYSTFELT;;999;nei;;7;NVE - område: 7;
1922;Timbra;Kraftverk;K;NYDALSELVA KRAFT AS;893040412;Vestland;46;Gloppen;50;2018;2018;2,9;9,498;355;0,96;0,839;3;087.CB2B;ja;2018-05-01;[object Object];Idrift;;;Breimsvassdraget;;369;nei;;13;NVE - område: 13;
2096;Tindåga;Kraftverk;K;TINDÅGA KRAFT AS;925575119;Nordland;18;Gildeskål;38;2024;2024;2,86;7,2;280;1,2;0,662;4;161.22;ja;2024-10-23;[object Object];Idrift;;;KYSTFELT;;999;nei;;10;NVE - område: 10;
439;Tinfos I;Kraftverk;K;TINFOS AS;916763476;Telemark ;40;Notodden;05;1955;1955;41;219,855;29,2;160;0,071;2;016.F2;ja;1955-01-01;[object Object],[object Object];Idrift;;;Skiensvassdraget;11;078;nei;;3;NVE - område: 3;
1431;Tinfos II;Kraftverk;K;TINFOS AS;916763476;Telemark ;40;Notodden;05;1912;1912;3,5;21,236;29;15;0,065;2;016.F2;ja;1912-01-01;[object Object],[object Object];Idrift;;;Skiensvassdraget;13;078;nei;;3;NVE - område: 3;
1399;Tinnkraft;Kraftverk;K;TINNKRAFT AS;990930716;Telemark ;40;Tinn;26;2008;2008;2,3;6,261;57;5;0,128;2;016.G52A4;ja;2008-05-18;[object Object];Idrift;;;Skiensvassdraget;;078;nei;;3;NVE - område: 3;
1605;Tisjøen;Kraftverk;K;EIDSVOLL KOMMUNE;964950113;Akershus;32;Eidsvoll;40;2009;2009;0,075;0,245;;;;1;002.DB2B;ja;2009-08-17;[object Object];Idrift;;;Glommavassdraget;;004;nei;;1;NVE - område: 1;
1792;Tisleifjord;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Innlandet;34;Nord-Aurdal;51;2014;2014;1,65;5,674;10,31;17;0,027;5;012.JB5;ja;2014-10-24;[object Object];Idrift;;;Drammensvassdraget;51;043;nei;;2;NVE - område: 2;
441;Tistedalsfoss;Kraftverk;K;HALDEN KRAFTPRODUKSJON AS;887287562;Østfold;31;Halden;01;1955;1955;20;89,501;66,09;36,08;0,153;1;001.A5;ja;1955-11-15;[object Object];Idrift;;;Haldenvassdraget;04;003;nei;;1;NVE - område: 1;
442;Tjodan;Kraftverk;K;LYSE KRAFT DA;925749419;Rogaland;11;Sandnes;08;1984;1984;110;364,204;885,5;15;2,036;2;031.A0;ja;1984-12-13;[object Object];Idrift;;;Lysevassdraget;01;153;nei;;4;NVE - område: 4;
443;Tjodanpollen;Pumpe;P;LYSE KRAFT DA;925749419;Rogaland;11;Sandnes;08;1985;1985;-3,5;-6,381;0;2,4;-0,405;2;031.B0;ja;1985-01-01;;Idrift;;;Lysevassdraget;02;153;nei;;4;NVE - område: 4;
755;Tjønna;Pumpe;P;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Fjord;78;1995;1995;-0,2;-0,692;0;0,5;-0,079;3;099.B2B1C5;ja;1995-01-01;[object Object];Idrift;;;Tafjordvassdraget;18;417;nei;;8;NVE - område: 8;
444;Tjønnefoss;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Telemark ;40;Nissedal;30;1966;1966;6;39,872;17,7;39,68;0,042;2;019.E4;ja;1966-01-01;;Idrift;;;Arendalsvassdraget;12;105;nei;;3;NVE - område: 3;
445;Tjørhom;Kraftverk;K;SIRA KVINA KRAFTSELSKAP;954090493;Agder;42;Sirdal;28;1973;1973;120;594,097;158;90,08;0,37;2;026.H2;ja;1973-07-06;[object Object],[object Object];Idrift;;;Sira;31;132;nei;;4;NVE - område: 4;
1557;Tjørn I;Kraftverk;K;KNUT ESPENES;969797445;Rogaland;11;Sokndal;11;2011;2011;0,155;0,564;89;0,185;0,233;2;026.4BC0;ja;2011-01-08;[object Object];Idrift;;;Sokno;;134;nei;;4;NVE - område: 4;
1737;Tjørn II;Kraftverk;K;KNUT ESPENES;969797445;Rogaland;11;Sokndal;11;2011;2011;0,045;0,14;90;0,065;0,192;2;026.4BC0;ja;2011-01-08;[object Object];Idrift;;;Sokno;;134;nei;;4;NVE - område: 4;
1254;Tjøstheim;Kraftverk;K;TJØSTHEIM KRAFT AS;986919708;Rogaland;11;Suldal;34;2005;2005;4,16;11,464;405;1,2;0,963;2;036.A3;ja;2005-11-25;[object Object];Idrift;;;Suldalsvassdraget;02;166;nei;;3;NVE - område: 3;
1476;Tjøtaelva;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Gloppen;50;2011;2011;2,3;5,112;380;0,7;0,913;3;086.9;ja;2011-05-13;[object Object];Idrift;;;KYSTFELT;01;363;nei;;13;NVE - område: 13;
1977;Todøla;Kraftverk;K;TODØLA KRAFTVERK AS;918335838;Buskerud;33;Nesbyen;22;2019;2019;3,2;8,83;70;6,3;0,141;5;012.CC7A2;ja;2019-06-10;[object Object];Idrift;;;Drammensvassdraget;64;043;nei;;2;NVE - område: 2;
1967;Tokagjelet;Kraftverk;K;TOKAGJELET AS;919544651;Vestland;46;Kvam;22;2022;2022;26,5;77,537;297,6;10;0,736;5;052.7B;ja;2022-08-15;[object Object];Idrift;;;Steinsdalselvi;01;236;nei;;6;NVE - område: 6;
2081;Tokheimselva;Kraftverk;K;TOKHEIM KRAFT AS;925750948;Vestland;46;Ullensvang;18;2025;2025;8,39;22,3;405;2,41;0,967;2;048.4Z;ja;2025-02-28;[object Object];Idrift;;;Tokheimselvi;01;212;nei;;3;NVE - område: 3;
446;Tokke;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Telemark ;40;Tokke;34;1961;1961;430;2396,042;393,5;128,02;0,933;2;016.BD32;ja;1961-08-22;[object Object],[object Object],[object Object],[object Object];Idrift;;;Skiensvassdraget;71;078;nei;;3;NVE - område: 3;
447;Toklev;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Telemark ;40;Siljan;10;1921;1921;4,8;19,992;80,59;7,82;0,135;2;015.4G;ja;1921-01-01;[object Object];Idrift;;;Siljanvassdraget;04;074;nei;;3;NVE - område: 3;
1949;Tolga;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Tolga;26;2021;2021;43,1;182,796;87,8;60;0,2;1;002.P6;ja;2021-04-08;[object Object],[object Object];Idrift;;;Glommavassdraget;63;004;nei;;1;NVE - område: 1;
448;Tonstad;Kraftverk;K;SIRA KVINA KRAFTSELSKAP;954090493;Agder;42;Sirdal;28;1968;1968;960;4057,575;442;253,24;1,052;2;026.D32;ja;1968-06-26;[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Sira;21;132;nei;;4;NVE - område: 4;
1150;Tore Holmen;Kraftverk;K;;;Nordland;18;Hamarøy;75;1998;1998;0,004;0,017;;;;4;170.72;ja;1998-01-01;;Idrift;;;KYSTFELT;;999;nei;;10;NVE - område: 10;
987;Torjul;Kraftverk;K;SØRHEIM KRISTIN MARIE;970568506;Møre og Romsdal;15;Tingvoll;60;1995;1995;0,036;0,232;;;;3;111.31Z;ja;1995-01-01;[object Object];Idrift;;;Torjulelva;;999;nei;;8;NVE - område: 8;
558;Torpa;Kraftverk;K;HAFSLUND KRAFT AS;976894677;Innlandet;34;Nordre Land;48;1989;1989;150;420,524;470;39;1,067;1;012.EDB2;ja;1989-12-14;[object Object],[object Object];Idrift;;;Drammensvassdraget;17;043;nei;;1;NVE - område: 1;
1624;Torsnes;Kraftverk;K;NORDIC POWER TORSNES AS;993843865;Vestland;46;Ullensvang;18;2013;2013;9,1;17,388;283,8;3,7;0,683;5;047.1Z;ja;2013-09-18;[object Object];Idrift;;;Torsneselva;01;207;nei;;6;NVE - område: 6;
1683;Torvikelva;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Stad;49;2012;2012;1,237;1,676;105,4;1,61;0,213;3;089.421Z;ja;2012-09-04;[object Object];Idrift;;;Turrvikelva;;999;nei;;13;NVE - område: 13;
1857;Tosdalen;Kraftverk;K;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;2017;2017;19,3;32,969;531,37;4,2;1,276;4;144.7B;ja;2017-02-09;[object Object];Idrift;;;Storelva;02;613;nei;;10;NVE - område: 10;
2168;Toskhommen;Kraftverk;K;;;Agder;42;Kvinesdal;27;2023;2023;0,01;0,035;35;0,057;0,049;2;025.AA6;ja;2023-04-01;[object Object];Idrift;;;Kvina;;127;nei;;4;NVE - område: 4;
1775;Tossevikelva;Kraftverk;K;SMÅKRAFT AS;984616155;Buskerud;33;Ringerike;05;2014;2014;2,6;6,581;307;1;0,722;1;012.G21;ja;2014-10-03;[object Object];Idrift;;;Drammensvassdraget;29;043;nei;;1;NVE - område: 1;
436;Tou;Kraftverk;K;SMÅKRAFT AS;984616155;Rogaland;11;Strand;30;1987;1987;1,1;5,077;13,5;9,55;0,032;2;032.4Z;ja;1987-09-16;;Idrift;;;Tauelva;01;159;nei;;4;NVE - område: 4;
449;Toverud;Kraftverk;K;HADELAND KRAFTPRODUKSJON AS;976465792;Innlandet;34;Gran;46;1915;1989;6;15,829;230,1;3,09;0,537;1;012.EB42;ja;1989-01-01;[object Object];Idrift;;;Drammensvassdraget;24;043;nei;;1;NVE - område: 1;
1238;Trandal;Kraftverk;K;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;2005;2005;8;20,729;442;2;0,972;3;097.5Z;ja;2005-12-20;[object Object];Idrift;;;Hunda;01;403;nei;;8;NVE - område: 8;
1947;Traudalen;Kraftverk;K;TRAUDALEN KRAFTVERK AS;997011902;Vestland;46;Gloppen;50;2018;2018;0,99;7,06;226;0,55;0,5;3;087.1B;ja;2018-11-21;[object Object];Idrift;;;Traudalselva;;999;nei;;13;NVE - område: 13;
1295;Tredal;Kraftverk;K;LANDE EIENDOM INVEST AS;983788238;Agder;42;Lindesnes;05;2007;2007;0,8;2,379;50;2;0,111;2;023.A1B;ja;2007-02-27;[object Object];Idrift;;;Audna;;121;nei;;4;NVE - område: 4;
451;Trengereid;Kraftverk;K;EVINY FORNYBAR AS;876944642;Vestland;46;Bergen;01;1996;1996;3,5;16,412;388;1;0,972;5;061.3Z;ja;1996-06-14;[object Object],[object Object];Idrift;;;Holmavasselvi;01;250;nei;;6;NVE - område: 6;
1053;Trodla-Tysdal;Kraftverk;K;;;Rogaland;11;Hjelmeland;33;1990;1990;0,015;0,064;5;0,3;;2;033.AC10;ja;1990-01-01;;Idrift;;;Årdalselva;;158;nei;;3;NVE - område: 3;
1237;Trollelva;Kraftverk;K;VALAKER KRAFTVERK AS;932980614;Vestland;46;Stryn;51;2006;2006;1,25;4,075;330;0,5;0,722;3;087.48B;ja;2006-04-06;[object Object];Idrift;;;Brulandselva;01;361;nei;;13;NVE - område: 13;
452;Trollfjord I;Kraftverk;K;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Hadsel;66;1952;2002;3,2;17,09;178;2,1;0,423;4;179.212B;ja;2002-12-01;[object Object],[object Object];Idrift;;;Trollfjordelva;11;751;nei;;11;NVE - område: 11;
453;Trollfjord II;Kraftverk;K;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Hadsel;66;1956;1956;1,3999;3,462;450;0,4;0,972;4;179.211B;ja;1956-01-01;[object Object],[object Object],[object Object];Idrift;;;elv fra Botnvatnet;01;751;nei;;11;NVE - område: 11;
454;Trollheim;Kraftverk;K;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Surnadal;66;1968;1968;126,6;790,82;400;38;0,938;3;112.B0;ja;1968-09-27;[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object];Idrift;;;Surna;01;457;nei;;8;NVE - område: 8;
1035;Trollkraft;Kraftverk;K;TROLLKRAFT AS;882404102;Telemark ;40;Vinje;36;2001;2001;0,18;0,837;;;;2;016.BEC6;ja;2001-01-01;[object Object];Idrift;;;Skiensvassdraget;;078;nei;;3;NVE - område: 3;
2019;Trollvikelva;Kraftverk;K;TROLLVIKELVA KRAFT AS;920804047;Troms;55;Kåfjord;40;2021;2021;7,7;17,49;410;2,3;0,906;4;206.31;ja;2021-01-13;[object Object],[object Object];Idrift;;;KYSTFELT;;999;nei;;12;NVE - område: 12;
1858;Tronstad;Kraftverk;K;MYKLEBY MASKIN AS;950311916;Buskerud;33;Lier;12;2012;2012;1,26;7,06;106;1,4;0,25;1;011.B3;ja;2012-10-18;;Idrift;;;Lierelva;01;042;nei;;1;NVE - område: 1;
1959;Trontveitåna;Kraftverk;K;VEST-TELEMARK KRAFTLAG AS;955996836;Telemark ;40;Nissedal;30;2019;2019;1,24;3,816;194;0,781;0,441;2;019.F211;ja;2019-05-08;[object Object];Idrift;;;Arendalsvassdraget;;105;nei;;3;NVE - område: 3;
455;Tryland;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Lindesnes;05;1921;1921;5,4;28,608;133;4,75;0,259;2;023.B21;ja;1921-02-02;[object Object],[object Object],[object Object];Idrift;;;Audna;21;121;nei;;4;NVE - område: 4;
456;Trysilfossen;Kraftverk;K;GLOPPEN ENERGI AS;993039330;Vestland;46;Gloppen;50;1980;1980;4,2;23,842;11,5;49;0,025;3;087.A3;ja;1980-01-01;[object Object],[object Object];Idrift;;;Breimsvassdraget;02;369;nei;;13;NVE - område: 13;
450;Trælandsfos;Kraftverk;K;Å ENERGI VANNKRAFT AS;882973972;Agder;42;Kvinesdal;27;1917;1917;10;28,22;25,7;45;0,062;2;025.B22;ja;1917-06-30;[object Object];Idrift;;;Kvina;11;127;nei;;4;NVE - område: 4;
1451;Tua;Kraftverk;K;SMÅKRAFT AS;984616155;Trøndelag;50;Steinkjer;06;2010;2010;1,8;3,011;132;1,55;0,323;3;129.5Z;ja;2010-04-20;[object Object];Idrift;;;Sandslielva;01;521;nei;;9;NVE - område: 9;
1644;Tuddal;Kraftverk;K;TUDDAL KRAFT AS;996205126;Telemark ;40;Hjartdal;24;2011;2011;1,599;3,674;250;0,75;0,593;2;016.EAC12B;ja;2011-10-19;[object Object];Idrift;;;Skiensvassdraget;;999;nei;;3;NVE - område: 3;
2097;Tufteelva;Kraftverk;K;TUFTEELVA KRAFT AS;914121868;Vestland;46;Ullensvang;18;2023;2023;6,6;23;171,5;4,3;0,422;2;036.F2A;ja;2023-06-07;[object Object];Idrift;;;Suldalsvassdraget;;166;nei;;3;NVE - område: 3;
2053;Tungremmen;Kraftverk;K;NITO AS;988926930;Buskerud;33;Flå;20;2022;2022;3,4;8,334;173;2,4;0,394;5;012.CB7B3;ja;2022-04-27;[object Object];Idrift;;;Drammensvassdraget;;043;nei;;2;NVE - område: 2;
457;Tunnsjø;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Lierne;42;1963;1963;30,4;147,297;60;60,75;0,138;4;139.DC4;ja;1963-09-11;[object Object],[object Object];Idrift;;;Namsen;41;579;nei;;10;NVE - område: 10;
458;Tunnsjødal;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Namsskogan;44;1963;1963;176;839,993;237,5;89,9;0,544;4;139.D5A0;ja;1963-08-08;[object Object];Idrift;;;Namsen;31;579;nei;;10;NVE - område: 10;
459;Tunnsjøfoss;Kraftverk;K;NTE ENERGI AS;988340715;Trøndelag;50;Raarvikhe %u2013 Røyrvik;43;1986;1986;8,5;28,002;8,1;124,26;0,018;4;139.DC10;ja;1986-10-10;[object Object];Idrift;;;Namsen;36;579;nei;;10;NVE - område: 10;
461;Tussa;Kraftverk;K;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Volda;77;1961;1961;64;274,101;646;11;1,616;3;097.3Z;ja;1961-01-01;[object Object],[object Object],[object Object];Idrift;;;Tusselva;01;402;nei;;8;NVE - område: 8;
462;Tveit;Kraftverk;K;EVINY FORNYBAR AS;876944642;Vestland;46;Hyllestad;37;1982;1982;0,95;5,763;386;0,325;0,812;3;080.41Z;ja;1982-07-01;;Idrift;;;Tveitselva;01;332;nei;;13;NVE - område: 13;
884;Tveit;Kraftverk;K;KÅRE DAGFINN NATLAND SOLTVEIT;969497239;Rogaland;11;Suldal;34;1997;1997;0,36;1,493;;;;2;035.7AA;ja;1997-01-01;[object Object];Idrift;;;Hålandselva;;165;nei;;3;NVE - område: 3;
771;Tveitafoss;Kraftverk;K;HARDANGER ENERGI AS;983502601;Vestland;46;Eidfjord;19;1948;1948;1,07;6,36;65;2;0,139;5;050.B4;ja;1948-01-01;[object Object];Idrift;;;Eidfjordvassdraget;01;222;nei;;2;NVE - område: 2;
1446;Tveitaskar;Kraftverk;K;SMÅKRAFT AS;984616155;Vestland;46;Bjørnafjorden;24;2009;2009;4,2;7,955;300;1,55;0,752;2;053.D;ja;2009-11-03;[object Object];Idrift;;;Sævareidvassdraget;02;242;nei;;5;NVE - område: 5;
1658;Tveitelva;Kraftverk;K;TVEITELVA KRAFTVERK AS;991230580;Vestland;46;Kvinnherad;17;2011;2011;3,3;7,809;233,3;1,8;0,521;2;046.421A;ja;2011-07-11;[object Object];Idrift;;;Dalelva;01;216;nei;;5;NVE - område: 5;
1186;Tveitelvfallet;Kraftverk;K;EIVIND TVEDT;970371850;Vestland;46;Kvinnherad;17;1997;1997;0,1;0,409;;;;2;045.31AA;ja;1997-01-01;[object Object];Idrift;;;Storelva;;999;nei;;5;NVE - område: 5;
1039;Tveiten;Kraftverk;K;TVEITEN KRAFT AS;987572930;Telemark ;40;Seljord;22;2004;2004;0,037;0,169;72;0,08;0,128;2;016.CBA0;ja;2004-06-03;[object Object];Idrift;;;Skiensvassdraget;;078;nei;;3;NVE - område: 3;
464;Tveitereidfoss;Kraftverk;K;SKAGERAK KRAFT AS;979563531;Telemark ;40;Kragerø;14;1955;1955;2,6;13,675;9,3;40,11;0,017;2;017.AZ;ja;1955-01-01;[object Object],[object Object];Idrift;;;Kragerøvassdraget;04;096;nei;;3;NVE - område: 3;
832;Tveiteåno;Kraftverk;K;TVEITEÅNO KRAFTVERK AS;986950508;Rogaland;11;Suldal;34;2005;2005;1,45;4,977;331;0,46;0,785;2;036.B2;ja;2005-09-08;[object Object];Idrift;;;Suldalsvassdraget;91;166;nei;;3;NVE - område: 3;
1988;Tverrdalselvi;Kraftverk;K;TVERRDALSELVI KRAFT AS;911605406;Vestland;46;Sogndal;40;2020;2020;6,03;17,203;225,3;3,2;0,523;5;078.2B;ja;2020-01-30;[object Object];Idrift;;;Storelvi;02;317;nei;;7;NVE - område: 7;
850;Tverrelva;Kraftverk;K;TROMS KRAFT PRODUKSJON AS;979152116;Troms;55;Senja;30;1985;1985;0,3;2,043;;;;4;196.2B;ja;1985-01-01;;Idrift;;;Rossfjordvassdraget;;999;nei;;11;NVE - område: 11;
1875;Tverrelva;Kraftverk;K;TVERRELVA KRAFTVERK AS;994312685;Vestland;46;Kvinnherad;17;2017;2017;4,98;14,892;492,2;1,18;1,172;2;045.2Z;ja;2017-04-07;[object Object];Idrift;;;Uskedalselva;01;197;nei;;5;NVE - område: 5;
2153;Tverrelva;Kraftverk;K;VESTERÅLSKRAFT PRODUKSJON AS;977044863;Troms;55;Kvæfjord;10;2024;2024;3,2;8,9;307,17;1,23;0,723;4;178.9Z;ja;2024-12-05;[object Object];Idrift;;;Langvasselva;;999;nei;;11;NVE - område: 11;
2072;Tverrelvi;Kraftverk;K;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Vestland;46;Voss;21;2022;2022;4,64;13,24;484;1,1;1,172;5;062.BA42B;ja;2022-06-09;[object Object];Idrift;;;Vossovassdraget;;254;nei;;6;NVE - område: 6;
